Day,City,Temperature_C,IceCreamSales_Units,Humidity_Percent
1,Delhi,32.3,228,43.4
2,Delhi,33.3,220,83.5
3,Mumbai,30.9,208,44.0
4,Hyderabad,30.2,194,73.0
5,Pune,21.0,79,30.4
6,Pune,33.8,196,50.4
7,Kolkata,20.8,117,52.8
8,Mumbai,37.9,242,66.2
9,Bangalore,34.7,162,52.7
10,Kolkata,37.4,234,67.1
11,Bangalore,30.6,193,43.7
12,Delhi,41.6,275,81.3
13,Kolkata,25.3,107,39.8
14,Delhi,20.7,129,46.0
15,Hyderabad,31.4,220,39.8
16,Chennai,22.3,164,85.5
17,Mumbai,33.5,242,43.7
18,Delhi,36.7,208,54.1
19,Jaipur,20.7,163,48.9
20,Jaipur,25.7,138,84.9
21,Hyderabad,18.9,128,62.3
22,Chennai,39.2,295,54.0
23,Delhi,41.9,304,75.3
24,Hyderabad,19.1,125,39.6
25,Bangalore,31.1,174,58.1
26,Mumbai,41.2,302,81.6
27,Kolkata,33.4,256,75.1
28,Jaipur,18.0,128,56.1
29,Pune,15.1,64,88.3
30,Bangalore,28.7,140,36.4
31,Pune,37.7,235,52.4
32,Mumbai,29.6,186,76.7
33,Bangalore,31.2,187,51.8
34,Delhi,21.5,123,44.5
35,Pune,17.3,79,75.6
36,Pune,18.5,99,58.5
37,Chennai,22.2,146,42.7
38,Kolkata,34.2,205,53.9
39,Kolkata,26.8,152,43.5
40,Chennai,15.6,73,63.2
41,Mumbai,15.2,69,34.0
42,Chennai,38.2,247,34.3
43,Jaipur,22.5,99,73.4
44,Hyderabad,21.6,126,58.4
45,Jaipur,20.1,133,55.4
46,Delhi,38.3,272,33.3
47,Chennai,16.6,77,36.6
48,Hyderabad,20.1,66,56.9
49,Delhi,20.0,60,34.5
50,Mumbai,16.4,93,90.0
51,Jaipur,41.2,323,40.0
52,Mumbai,28.0,152,81.9
53,Jaipur,19.4,130,85.6
54,Jaipur,22.7,132,71.8
55,Mumbai,19.2,85,64.8
56,Jaipur,35.2,295,33.4
57,Delhi,28.6,188,87.6
58,Delhi,38.0,242,34.1
59,Chennai,33.2,217,83.4
60,Delhi,30.6,207,32.4
61,Chennai,26.3,134,86.1
62,Bangalore,33.1,200,48.9
63,Delhi,25.7,146,49.0
64,Delhi,15.3,54,67.3
65,Delhi,17.0,91,86.0
66,Pune,38.7,279,52.2
67,Mumbai,26.8,144,89.0
68,Delhi,33.0,208,63.3
69,Pune,40.4,281,36.4
70,Kolkata,22.4,138,66.3
71,Mumbai,20.5,101,59.3
72,Bangalore,17.5,75,55.4
73,Pune,16.2,73,88.8
74,Hyderabad,35.0,241,63.1
75,Pune,30.1,237,71.5
76,Pune,29.7,227,80.1
77,Mumbai,26.6,186,86.0
78,Chennai,39.3,271,42.6
79,Pune,33.0,195,82.5
80,Pune,40.0,295,44.2
81,Kolkata,41.4,300,31.5
82,Chennai,36.1,191,54.7
83,Jaipur,22.2,130,82.3
84,Jaipur,21.0,106,79.0
85,Chennai,24.4,167,43.4
86,Delhi,25.8,111,46.7
87,Kolkata,41.1,272,54.0
88,Bangalore,40.4,308,36.9
89,Hyderabad,19.8,127,36.5
90,Hyderabad,24.3,140,77.2
